category,name,title,type,score
"Performance","first-contentful-paint","First Contentful Paint","numeric","1"
"Performance","first-meaningful-paint","First Meaningful Paint","numeric","1"
"Performance","speed-index","Speed Index","numeric","1"
"Performance","interactive","Time to Interactive","numeric","0.95"
"Performance","first-cpu-idle","First CPU Idle","numeric","0.96"
"Performance","estimated-input-latency","Estimated Input Latency","numeric","1"
"Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"Performance","uses-responsive-images","Properly size images","numeric","1"
"Performance","offscreen-images","Defer offscreen images","numeric","1"
"Performance","unminified-css","Minify CSS","numeric","1"
"Performance","unminified-javascript","Minify JavaScript","numeric","1"
"Performance","unused-css-rules","Defer unused CSS","numeric","1"
"Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"Performance","uses-webp-images","Serve images in next-gen formats","numeric","1"
"Performance","uses-text-compression","Enable text compression","numeric","1"
"Performance","uses-rel-preconnect","Preconnect to required origins","numeric","0.74"
"Performance","time-to-first-byte","Server response times are low (TTFB)","binary","1"
"Performance","redirects","Avoid multiple page redirects","numeric","1"
"Performance","uses-rel-preload","Preload key requests","numeric","1"
"Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"Performance","total-byte-weight","Avoids enormous network payloads","numeric","1"
"Performance","uses-long-cache-ttl","Uses efficient cache policy on static assets","numeric","1"
"Performance","dom-size","Avoids an excessive DOM size","numeric","1"
"Performance","critical-request-chains","Minimize Critical Requests Depth","informative","-1"
"Performance","network-requests","Network Requests","informative","-1"
"Performance","metrics","Metrics","informative","-1"
"Performance","user-timings","User Timing marks and measures","not-applicable","-1"
"Performance","bootup-time","JavaScript execution time","numeric","0.97"
"Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"Performance","final-screenshot","Final Screenshot","informative","-1"
"Performance","mainthread-work-breakdown","Minimizes main-thread work","numeric","0.99"
"Performance","font-display","All text remains visible during webfont loads","binary","1"
"Progressive Web App","load-fast-enough-for-pwa","Page load is fast enough on 3G","binary","1"
"Progressive Web App","works-offline","Does not respond with a 200 when offline","binary","0"
"Progressive Web App","webapp-install-banner","User will not be prompted to Install the Web App","binary","0"
"Progressive Web App","is-on-https","Uses HTTPS","binary","1"
"Progressive Web App","redirects-http","Redirects HTTP traffic to HTTPS","binary","1"
